Gender,Squad,Poss,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance W,Performance D,Performance L,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Subs Subs,Subs Mn/Sub,Performance Fls,Performance Fld,Performance Off,Performance Recov,Aerial Duels Won,Aerial Duels Lost
Male,Atlanta Utd,57.1,48,37,47,1,3,69,3,55.8,54.1,43.5,97.6,725,1521,1.41,1.09,1.38,2.47,1.64,1.28,2.92,1.59,2.87,54,1.59,125,71,10,10,14,6,6,6,0,0,1,12,0,45.3,0.32,-8.7,-0.25,115,243,1002,161,17.8,26.8,220,29.5,29.9,469,26,19,0.56,13.2,537,180,15.79,5.29,0.09,0.26,18.1,18,0.1,-7.8,-7.1,15046,265649,92558,6669,7365,6321,7236,1598,2587,42.6,-6.5,422,1147,317,73,1521,16557,1612,448,71,164,702,603,221,96,97,0,15046,64,295,962,28.29,728,83,55,51,38,7,86,2.53,60,9,9,5,3,0,534,302,252,212,70,254,518,264,357,107,250,291,588,4,21946,2170,6892,9932,5355,825,21943,676,384,253,37.4,12852,73224,37877,725,579,169,539,328,14901,1505,143,22,387,391,64,1845,365,355
Male,Austin,55.2,64,47,60,4,4,73,4,50.9,47.9,36.2,84.1,478,1351,1.88,1.38,1.76,3.15,1.5,1.07,2.56,1.41,2.47,49,1.44,161,111,16,8,10,8,7,5,2,0,0,6,1,49.4,0.27,1.4,0.04,129,398,1082,181,23.7,29.3,277,51.3,42.8,446,31,63,1.85,16.6,420,136,12.35,4,0.14,0.44,16.8,17,0.12,13.1,12.1,13719,257958,89048,5731,6394,6104,6985,1680,2924,39.7,10.8,302,1064,304,76,1351,15271,1594,417,39,220,586,664,152,77,36,2,13719,64,217,723,21.26,542,56,30,47,37,11,106,3.12,81,4,3,10,6,2,397,229,204,135,58,203,482,279,335,110,225,292,504,16,20105,2230,6885,8531,4862,743,20101,479,246,213,44.5,11750,60052,30361,478,398,88,463,255,13609,1347,168,22,420,353,64,1542,362,368
Male,CF Montréal,54.9,61,47,56,5,7,79,3,55.3,50,39.9,89.9,591,1546,1.79,1.38,1.65,3.03,1.63,1.17,2.8,1.47,2.64,50,1.47,123,75,20,5,9,7,6,6,0,0,1,7,2,40.1,0.28,-7.9,-0.23,74,191,641,139,20.6,27.3,229,25.8,26.4,354,25,33,0.97,13.8,418,148,12.29,4.35,0.13,0.38,16.7,10,0.12,5.7,6,14888,264037,94953,6785,7520,6232,7150,1559,2498,36.1,7.1,328,1310,291,69,1546,16342,1625,477,37,187,593,650,185,80,71,0,14888,50,283,749,22.03,541,79,47,43,31,8,109,3.21,76,6,15,6,4,2,443,266,182,201,60,201,409,208,301,59,242,287,456,12,21282,1687,5772,10640,5092,777,21275,626,341,253,40.4,12453,64663,31065,591,430,170,527,299,14750,1539,153,22,382,408,50,1820,382,299
Male,Charlotte,53.4,42,31,38,4,4,62,2,41.8,38.8,30.1,68.8,468,1220,1.24,0.91,1.12,2.03,1.23,0.89,2.12,1.14,2.02,52,1.53,156,105,13,3,18,8,4,4,0,0,1,6,1,45,0.27,-6,-0.18,180,477,1072,148,33.8,32.9,222,51.8,42.8,449,27,32,0.94,15.2,380,141,11.18,4.15,0.1,0.27,17.8,14,0.1,0.2,-0.8,13762,253941,89594,5643,6322,6341,7253,1485,2784,31.4,0.9,284,974,246,73,1220,15542,1627,427,40,156,644,688,171,68,60,8,13762,33,306,665,19.56,486,72,21,49,32,5,74,2.18,54,3,2,9,5,1,506,297,245,188,73,234,498,264,360,116,244,302,590,10,20649,2255,6999,9318,4510,644,20644,515,241,245,47.6,11824,57438,28175,468,378,114,510,316,13652,1203,155,19,429,371,33,1759,387,454
Male,Chicago Fire,49,39,29,35,4,5,86,5,47,43.1,32.7,75.8,459,1275,1.15,0.85,1.03,1.88,1.38,0.96,2.34,1.27,2.23,48,1.41,133,86,10,9,15,12,5,5,0,0,1,4,1,47.6,0.33,0.6,0.02,192,468,714,126,42.2,36,267,62.5,44.5,469,21,25,0.74,12.3,424,131,12.47,3.85,0.08,0.27,17.7,16,0.1,-8,-8.1,11822,214759,84712,5334,6144,4809,5781,1417,2587,33,-3.7,315,973,286,86,1275,13550,1717,494,36,157,603,717,156,92,38,0,11822,77,265,743,21.85,554,51,36,49,37,16,70,2.06,58,2,1,4,3,2,591,345,279,231,81,273,570,297,349,102,247,368,591,8,19028,1934,6064,8446,4697,739,19023,486,237,228,46.9,9814,50085,24163,459,371,133,563,304,11731,1264,127,20,468,436,77,1864,443,415
Male,Colorado Rapids,48.2,46,29,41,5,5,94,6,50.8,47,36.4,83.4,493,1203,1.35,0.85,1.21,2.06,1.49,1.07,2.57,1.38,2.45,57,1.68,158,100,11,10,13,9,11,10,1,0,0,5,0,52.3,0.26,-4.7,-0.14,143,360,692,149,37.1,34.5,274,37.6,34,413,10,26,0.76,14.9,443,140,13.03,4.12,0.09,0.29,17.1,13,0.11,-4.8,-6,11340,224505,85484,4380,4995,5132,5974,1644,2857,34.9,-7.4,342,991,267,57,1203,12857,1581,415,37,204,625,615,182,97,80,0,11340,55,244,804,23.65,559,88,49,52,45,11,78,2.29,54,5,3,8,7,1,468,265,217,194,57,215,453,238,347,133,214,299,604,13,17825,2066,6230,7871,3897,759,17820,462,248,182,39.4,9768,50693,25987,493,303,152,466,196,11244,1192,139,19,422,367,55,1604,469,364
Male,Columbus Crew,52.5,46,34,45,1,2,65,1,40.6,39,30.6,69.6,660,1379,1.35,1,1.32,2.32,1.19,0.9,2.09,1.15,2.05,41,1.21,142,103,10,16,8,9,4,3,0,1,0,8,2,43.8,0.3,4.8,0.14,127,392,647,122,39.4,35.2,252,54.4,41.4,472,18,15,0.44,11.4,445,141,13.09,4.15,0.1,0.32,18.8,27,0.09,5.4,6,13516,245970,88008,5858,6552,5863,6763,1512,2606,31.9,3.4,333,1084,293,59,1379,15030,1647,505,45,161,582,643,169,66,66,2,13516,60,257,783,23.03,582,55,53,35,44,14,81,2.38,60,6,4,6,5,0,548,319,271,213,64,241,511,270,314,90,224,318,561,9,20412,2054,6325,8906,5393,749,20410,677,323,307,45.3,12034,64889,31971,660,508,186,531,277,13421,1375,125,19,359,483,60,1806,421,463
Male,D.C. United,46.9,36,25,34,2,4,73,5,36.9,33.7,26.1,59.8,471,1130,1.06,0.74,1,1.74,1.09,0.77,1.85,0.99,1.76,71,2.09,189,119,7,6,21,6,5,3,2,0,1,12,3,57.6,0.28,-10.4,-0.31,195,500,1011,172,34.1,32.4,261,59.4,44,480,16,50,1.47,15.5,353,107,10.38,3.15,0.1,0.32,17.5,8,0.1,-0.9,0.3,10843,207001,78512,4346,5141,4834,5815,1426,2752,28.4,-1.1,260,840,217,61,1130,12743,1679,420,32,151,621,719,153,60,45,20,10843,50,285,610,17.94,427,72,20,45,29,17,65,1.91,46,8,2,3,5,1,461,273,214,183,64,225,530,305,348,118,230,350,649,10,18050,1979,6094,8065,4083,657,18046,478,214,241,50.4,9037,49860,24886,471,328,105,516,273,10733,1113,159,23,463,353,50,1744,495,478
Male,FC Cincinnati,45.2,60,47,56,4,5,77,4,55.7,51.8,42.8,94.6,443,1194,1.76,1.38,1.65,3.03,1.64,1.26,2.9,1.52,2.78,56,1.65,161,103,12,13,9,6,10,7,3,0,2,7,1,52.5,0.27,-2.5,-0.07,174,490,570,129,50.4,39.7,285,71.2,49.3,566,32,31,0.91,13.7,433,162,12.74,4.76,0.13,0.35,16.9,13,0.12,4.3,4.2,10853,196756,80453,4855,5672,4457,5384,1251,2444,40.8,4.2,337,979,275,68,1194,12701,1558,385,56,124,505,646,152,66,61,1,10853,56,270,768,22.59,560,71,41,41,40,15,106,3.12,77,4,8,10,5,2,594,311,314,209,71,277,583,306,387,115,272,329,691,3,18279,1917,5608,8357,4498,684,18274,568,279,256,45.1,9591,48241,23362,443,360,142,552,295,10783,1186,152,17,426,343,56,1826,451,430
Male,FC Dallas,49.5,46,34,45,1,1,78,3,42.4,41.7,32.7,74.4,539,1207,1.35,1,1.32,2.32,1.25,0.96,2.21,1.23,2.19,37,1.09,133,94,14,11,9,8,7,5,2,0,2,3,0,38.6,0.24,1.6,0.05,91,371,755,130,32.1,31.9,267,48.3,38.9,521,20,19,0.56,12.2,401,134,11.79,3.94,0.11,0.34,17.8,13,0.11,3.6,3.3,13450,234531,81408,6222,6916,5665,6488,1276,2493,30.9,1.3,302,925,274,50,1207,15027,1579,393,69,131,462,672,149,44,58,1,13450,55,247,698,20.53,527,58,32,40,30,11,84,2.47,61,4,5,6,6,2,530,299,254,209,67,271,553,282,310,105,205,301,656,6,20035,2372,7334,8813,4057,682,20034,524,264,234,44.7,11201,57296,29417,539,375,138,463,234,13352,1203,159,17,402,366,55,1681,297,400
